farmer_id,name,phone,state,land_area_acres,irrigation_type,bank_account
635,ava johnson,+91-9671561096,karnataka,442.84,sprinkler,acc485259876
639,ava li,+91-7491959059,telangana,478.48,drip,acc808186710
645,rohan gupta,9102577048,florida,268.69,canal,acc523663272
647,vikram kumar,+91-8954643105,florida,339.42,rainfed,acc800295787
649,priya johnson,+17147807555,gujarat,24.72,drip,acc125721632
659,rajesh jones,(718) 929-9321,delhi,101.15,canal,acc538208393
660,ava reddy,+91-9942161466,delhi,451.76,canal,acc524695868
664,carlos martinez,(737) 562-5248,maharashtra,86.99,unknown,acc789019364
668,kenji nair,(875) 108-9866,rajasthan,274.27,rainfed,acc460761166
672,sneha sharma,(296) 545-7031,tamil nadu,234.87,flood,acc454939966
675,carlos verma,+18174267624,tamil nadu,269.73,drip,acc179013333
680,wei martinez,+91-8641241520,tamil nadu,72.93,drip,acc348850692
681,pooja smith,9503704523,tamil nadu,14.24,flood,acc243832813
683,yuki li,+91-8368304023,gujarat,324.13,sprinkler,acc153144772
687,yuki reddy,(657) 176-3433,telangana,0.65,unknown,acc223057752
704,priya johnson,(943) 351-2964,florida,223.81,flood,acc313360801
705,aarav iyer,9238253123,texas,417.84,flood,acc353622354
712,rahul kumar,9962960996,texas,440.78,sprinkler,acc720074764
717,ananya iyer,+13090141175,texas,211.99,sprinkler,acc488500371
724,sanya smith,+91-9436581953,tamil nadu,451.92,sprinkler,acc544102170
725,liam patel,(666) 956-9564,delhi,264.3,rainfed,acc951463069
727,james smith,+91-9961579550,telangana,447.77,drip,acc625517891
730,chen reddy,9293339829,california,8.2,rainfed,acc359141109
731,carlos joshi,+91-9315829456,karnataka,111.5,sprinkler,acc492410564
734,james gupta,+91-9540684764,tamil nadu,308.2,sprinkler,acc851722055
740,olivia joshi,(576) 716-9124,gujarat,113.73,drip,acc312444757
743,priya joshi,(980) 343-5358,florida,206.37,canal,acc782694283
753,arjun garcia,9744636178,tamil nadu,407.29,sprinkler,acc303574499
761,maria lee,(337) 161-5640,telangana,136.74,drip,acc397638851
763,wei lee,918956231534,delhi,48.84,sprinkler,acc784289184
764,yuki williams,+91-9375061620,west bengal,56.46,canal,acc469397469
773,carlos iyer,+17993369449,delhi,453.93,sprinkler,acc510202006
776,liam kim,9324671356,maharashtra,204.57,flood,acc405206489
779,liam joshi,9412490946,florida,52.34,rainfed,acc571510645
789,ananya johnson,(242) 609-2099,west bengal,186.28,drip,acc619685280
793,liam nair,+91-8443581051,texas,285.04,sprinkler,acc615366562
807,sanya singh,(527) 109-4495,florida,435.24,rainfed,acc207071349
813,pooja joshi,+91-9695143380,california,287.79,rainfed,acc456353769
815,kenji joshi,+91-7807288435,karnataka,201.85,drip,acc516845806
822,rahul singh,+14843197915,texas,318.3,rainfed,acc945130271
829,vikram wang,(263) 703-5230,gujarat,400.95,rainfed,acc589228624
838,sanya smith,+91-7946137286,west bengal,26.24,canal,acc970845700
839,arjun nair,9440598046,delhi,88.75,drip,acc607026149
842,neha williams,+91-8979348753,west bengal,234.31,rainfed,acc715947188
843,neha martinez,918529756560,tamil nadu,166.69,drip,acc538695928
846,hiroshi davis,9597282420,maharashtra,281.62,rainfed,acc196403995
852,ananya davis,+17127582890,karnataka,442.85,canal,acc398567239
865,hiroshi johnson,+91-8115477808,texas,408.7,drip,acc938102195
890,kenji garcia,(408) 111-8069,telangana,134.12,flood,acc852532866
894,aiko lee,(514) 589-1266,florida,341.58,drip,acc634177042
898,aarav kumar,+91-9080032009,delhi,201.49,canal,acc598197668
905,liam sharma,917011063698,florida,205.38,rainfed,acc984990007
912,ananya wang,+91-9172558731,new york,359.39,drip,acc939662344
916,suresh martinez,9627507696,florida,124.09,sprinkler,acc212712094
918,emma li,+91-9989251137,tamil nadu,350.63,drip,acc455722942
927,ava wang,9125068265,telangana,190.93,sprinkler,acc687487618
931,deepika iyer,9237340061,rajasthan,455.42,canal,acc558162750
934,sneha patel,+91-7336924255,west bengal,313.79,canal,acc721098685
938,arjun nair,+91-7516381253,karnataka,489.39,rainfed,acc251245325
939,priya gupta,+91-7714229346,telangana,19.48,flood,acc347614350
942,ananya lopez,9771850311,texas,401.06,sprinkler,acc499676567
943,sneha patel,9331875234,rajasthan,332.82,drip,acc837660031
945,mohammed kumar,+14008207419,texas,221.34,flood,acc936086056
947,rahul garcia,(515) 688-9907,maharashtra,473.53,drip,acc316811275
953,deepika williams,9641147724,california,382.96,flood,acc253155486
958,priya lopez,+91-8978968581,florida,150.32,canal,acc760662931
966,neha li,918302626489,new york,272.58,rainfed,acc920866465
975,emma joshi,918375583611,tamil nadu,441.7,rainfed,acc563469363
981,liam verma,(976) 346-4334,maharashtra,94.05,flood,acc325302253
988,fatima iyer,(227) 754-3248,new york,330.71,canal,acc779950191
992,james gupta,9268276334,karnataka,47.24,drip,acc484763359
995,wei davis,+91-9121876353,delhi,326.65,rainfed,acc637954365
996,neha singh,+91-9187305128,rajasthan,374.42,unknown,acc821722913
998,fatima zhang,9776806992,telangana,257.24,rainfed,acc343906823
